love,17547,Love,sex,27546,Sexual_intercourse,0.677
tiger,30075,Tiger,cat,6678,Cat,0.735
tiger,30075,Tiger,tiger,30075,Tiger,1.0
book,3778,Book,paper,16861908,Paper,0.746
computer,7878457,Computer,keyboard,18842281,Computer_keyboard,0.76199996
computer,7878457,Computer,internet,14539,Internet,0.758
plane,46770,Fixed-wing_aircraft,car,13673345,Car,0.5770000000000001
train,30598,Train,car,13673345,Car,0.631
telephone,30003,Telephone,communication,33094374,Telecommunication,0.75
television,29831,Television,radio,173088,Radio_broadcasting,0.677
media,19641,Mass_media,radio,173088,Radio_broadcasting,0.742
drug,9311172,Drug,abuse,424739,Abuse,0.685
bread,36969,Bread,butter,46183,Butter,0.619
cucumber,164491,Cucumber,potato,23501,Potato,0.5920000000000001
doctor,23315,Physician,nurse,18403271,Nursing,0.7
professor,20646803,Professor,doctor,188886,Doctorate,0.662
student,155526,Student,professor,20646803,Professor,0.6809999999999999
smart,519280,Intelligence,student,155526,Student,0.46199998
smart,519280,Intelligence,stupid,19159221,Stupidity,0.581
company,4918223,Company,stock,19372783,Stock,0.708
stock,19372783,Stock,phone,30003,Telephone,0.162
stock,19372783,Stock,CD,6429,Compact_disc,0.131
stock,19372783,Stock,jaguar,147676,Jaguar_Cars,0.092
stock,19372783,Stock,egg,19196010,Egg_(food),0.18100000000000002
fertility,257215,Fertility,egg,484939,Egg,0.669
book,3778,Book,library,17727,Library,0.746
bank,19360669,Bank,money,8983183,Money,0.812
wood,33550,Wood,forest,11090,Forest,0.773
professor,20646803,Professor,cucumber,164491,Cucumber,0.031
king,19012,Monarch,cabbage,55115,Cabbage,0.023
king,19012,Monarch,queen,887147,Queen_regnant,0.858
king,47485,King_(chess),rook,47615,Rook_(chess),0.5920000000000001
bishop,4092,Bishop,rabbi,51273,Rabbi,0.669
Jerusalem,16043,Jerusalem,Israel,9282173,Israel,0.846
Jerusalem,16043,Jerusalem,Palestinian,23267,Palestinians,0.765
holy,12178732,Sacred,sex,27546,Sexual_intercourse,0.162
fuck,5575722,Fuck,sex,27546,Sexual_intercourse,0.94399995
Maradona,8485,Diego_Maradona,football,10568,Association_football,0.862
football,18951490,American_football,basketball,3921,Basketball,0.6809999999999999
football,10568,Association_football,tennis,29773,Tennis,0.6629999999999999
tennis,29773,Tennis,racket,52664,Racket_(sports_equipment),0.7559999999999999
Arafat,34289,Yasser_Arafat,peace,24702,Peace,0.6729999999999999
Arafat,34289,Yasser_Arafat,terror,30636,Terrorism,0.765
Arafat,34289,Yasser_Arafat,Jackson,14995351,Michael_Jackson,0.25
law,18949668,Law,lawyer,17541,Lawyer,0.838
movie,21555729,Film,star,5796,Celebrity,0.73800004
movie,21555729,Film,popcorn,232176,Popcorn,0.619
movie,21555729,Film,critic,11065202,Film_criticism,0.6729999999999999
movie,21555729,Film,theater,77819,Movie_theater,0.792
physics,22939,Physics,proton,23317,Proton,0.812
physics,22939,Physics,chemistry,5180,Chemistry,0.735
space,27667,Space,chemistry,5180,Chemistry,0.488
alcohol,1014,Alcohol,chemistry,5180,Chemistry,0.5539999999999999
vodka,32787,Vodka,gin,12988,Gin,0.846
vodka,32787,Vodka,brandy,45189,Brandy,0.813
drink,18948043,Alcoholic_beverage,car,13673345,Car,0.304
drink,7984,Drink,ear,768413,Ear,0.131
drink,7984,Drink,mouth,9293603,Mouth,0.596
drink,66254,Drinking,eat,212818,Eating,0.687
baby,73165,Infant,mother,83430,Mother,0.78499997
drink,7984,Drink,mother,83430,Mother,0.26500002
coast,5236,Coast,shore,47777152,Shore,0.91
furnace,238150,Furnace,stove,556358,Stove,0.879
food,10646,Food,fruit,10843,Fruit,0.752
bird,3410,Bird,cock,26574,Rooster,0.71
bird,3410,Bird,crane,198041,Crane_(bird),0.73800004
crane,318378,Crane_(machine),implement,30677,Tool,0.26899999999999996
journey,155747,Travel,car,13673345,Car,0.585
monk,419369,Monk,oracle,22589,Oracle,0.5
cemetery,63752,Cemetery,woodland,66986,Woodland,0.20799999
food,10646,Food,rooster,26574,Rooster,0.442
coast,5236,Coast,hill,1408983,Hill,0.43800002
forest,11090,Forest,graveyard,63752,Cemetery,0.185
shore,47777152,Shore,woodland,66986,Woodland,0.308
monk,419369,Monk,slave,27992,Slavery,0.092
